word,count
یکی,2426
از,32066
جهان,606
رو,15036
دادیم,127
جاش,104
گرفتیم,110
که,31104
خجالت,171
جایی,477
نشونش,17
بدیم.,25
#چی_دادیم_چی_گرفتیم,263
هیچوقت,164
بلد,147
نبودم,74
فقط,3247
اونیکه,30
میکشه,63
:-))))))),12
#مشهد,71
تو,11634
بیمارستان,125
کردن,2075
گفتن,427
تا,6970
پول,1060
ندید,58
بچه,1357
تون,153
واسه,1387
کسی,2219
#احمد_الحسن,123
:,1064
امامت,17
یعنی,1582
تسلط,21
بر,3476
بالا,672
و,53940
پایین,290
به,36580
اذن,17
خداوند,156
آخه,310
بهتره,177
بگیم,135
#لیست_امید,11
دادن,793
گرفتن,402
برا,577
حمایت,1026
رای,522
روبان,11
حیوانات,61
تبلت,11
پارس,31
اختلاس,152
میگن,870
@ExoSupport_ir,69
@weareoneEXO,1161
مشکلی,135
نیست,2751
این,16909
عشقه,11
خیلی,3025
قشنگ,307
بود,4304
#EXOL,474
#BestFanArmy,486
#iHeartAwards,446
#에리파티,18
EXO,464
COUNTDOWN,61
اسپانیا,39
نابود,197
مالباختگان,22
موسسه,124
کاسپین,47
شعبه,111
-,1521
#تهران,383
را،,55
امروز,1895
۵,164
بهمن,1499
با,16595
آشغال,83
مورد,1139
تهاجم,23
مرگ,815
دزد,129
#براندازم,3772
#تظاهرات_سراسری,639
@abdollahram,19
تجربه‌ی,11
شخصی,291
خودم,957
می‌گه,62
کمکی,42
جز,558
حذف,271
قوانین,161
دست,2664
پا,431
گیر,362
اینترنت,116
مجازی,299
نه,4052
می‌شود,161
کرد,1725
نیاز,388
هست,1731
من,9904
پایان,317
دنیا,855
اهمیت,129
.,2745
چون,1792
دنیای,188
بارها,129
تمام,1300
شده,3729
صبح,1024
روز,2407
بعد,2885
دوباره,560
نو,104
آغاز,333
است,5616
قهرمان,160
محمد,414
علي,53
فاطمه,175
زهرا,149
الگو,25
كسي,141
نيست,294
#ويدا_موحد,61
#دختر_خیابان_انقلاب,539
#ايران,281
در,25177
ايران,373
بودجه,354
سازمان,327
اسلامى,32
ميليارد,30
را,13205
داده,763
كه,3550
تنها,1234
منبع,143
درآمد,72
براى,285
كل,68
كشور,106
بلكه,38
موجب,88
خواهد,808
شد.,762
#رويايى_دارم,54
استفاده,785
درست,994
میوه,45
هارو,136
یادت,113
ندادن,55
انار,17
میریزی,13
روش,312
دیگه,3146
اگه,2710
یاد,684
بودی,207
خیار,10
میکردی,49
کونت,42
شرکت,490
چین,89
قرارداد,57
کرده,2123
بابت,161
